Date,Open,High,Low,Close,Adj Close,Volume
1992-04-27,10.030000,10.030000,10.030000,10.030000,5.913749,0
1992-04-28,10.000000,10.000000,10.000000,10.000000,5.896062,0
1992-04-29,10.000000,10.000000,10.000000,10.000000,5.896062,0
1992-04-30,10.180000,10.180000,10.180000,10.180000,6.002193,0
1992-05-01,10.180000,10.180000,10.180000,10.180000,6.002193,0
1992-05-04,10.250000,10.250000,10.250000,10.250000,6.043465,0
1992-05-05,10.260000,10.260000,10.260000,10.260000,6.049361,0
1992-05-06,10.270000,10.270000,10.270000,10.270000,6.055256,0
1992-05-07,10.250000,10.250000,10.250000,10.250000,6.043465,0
1992-05-08,10.250000,10.250000,10.250000,10.250000,6.043465,0
1992-05-11,10.310000,10.310000,10.310000,10.310000,6.078844,0
1992-05-12,10.260000,10.260000,10.260000,10.260000,6.049361,0
1992-05-13,10.260000,10.260000,10.260000,10.260000,6.049361,0
1992-05-14,10.180000,10.180000,10.180000,10.180000,6.002193,0
1992-05-15,10.120000,10.120000,10.120000,10.120000,5.966813,0
1992-05-18,10.180000,10.180000,10.180000,10.180000,6.002193,0
1992-05-19,10.250000,10.250000,10.250000,10.250000,6.043465,0
1992-05-20,10.240000,10.240000,10.240000,10.240000,6.037564,0
1992-05-21,10.170000,10.170000,10.170000,10.170000,5.996296,0
1992-05-22,10.210000,10.210000,10.210000,10.210000,6.019881,0
1992-05-26,10.140000,10.140000,10.140000,10.140000,5.978608,0
1992-05-27,10.160000,10.160000,10.160000,10.160000,5.990399,0
1992-05-28,10.250000,10.250000,10.250000,10.250000,6.043465,0
1992-05-29,10.250000,10.250000,10.250000,10.250000,6.043465,0
1992-06-01,10.300000,10.300000,10.300000,10.300000,6.072948,0
1992-06-02,10.240000,10.240000,10.240000,10.240000,6.037564,0
1992-06-03,10.260000,10.260000,10.260000,10.260000,6.049361,0
1992-06-04,10.230000,10.230000,10.230000,10.230000,6.031671,0
1992-06-05,10.220000,10.220000,10.220000,10.220000,6.025775,0
1992-06-08,10.210000,10.210000,10.210000,10.210000,6.019881,0
1992-06-09,10.120000,10.120000,10.120000,10.120000,5.966813,0
1992-06-10,10.050000,10.050000,10.050000,10.050000,5.925544,0
1992-06-11,10.070000,10.070000,10.070000,10.070000,5.937335,0
1992-06-12,10.100000,10.100000,10.100000,10.100000,5.955025,0
1992-06-15,10.100000,10.100000,10.100000,10.100000,5.955025,0
1992-06-16,10.050000,10.050000,10.050000,10.050000,5.925544,0
1992-06-17,9.890000,9.890000,9.890000,9.890000,5.831203,0
1992-06-18,9.850000,9.850000,9.850000,9.850000,5.807620,0
1992-06-19,9.910000,9.910000,9.910000,9.910000,5.842999,0
1992-06-22,9.890000,9.890000,9.890000,9.890000,5.831203,0
1992-06-23,9.920000,9.920000,9.920000,9.920000,5.848890,0
1992-06-24,9.910000,9.910000,9.910000,9.910000,5.842999,0
1992-06-25,9.890000,9.890000,9.890000,9.890000,5.831203,0
1992-06-26,9.890000,9.890000,9.890000,9.890000,5.831203,0
1992-06-29,10.030000,10.030000,10.030000,10.030000,5.913749,0
1992-06-30,10.040000,10.040000,10.040000,10.040000,5.919645,0
1992-07-01,10.150000,10.150000,10.150000,10.150000,5.984502,0
1992-07-02,10.120000,10.120000,10.120000,10.120000,5.966813,0
1992-07-06,10.160000,10.160000,10.160000,10.160000,5.990399,0
